#;NAME;PSRJ;RAJ;DECJ;P0;P1;DM;DM1;RM;T0;DIST;DIST_DM;R_LUM;R_LUM14;AGE;BSURF;EDOT;EDOTD2;
;;;(hms);(dms);(s);;(cm^-3pc);(cm^-3pc/yr);(radm^-2);(MJD);(kpc);(kpc);(mJykpc^2);(mJykpc^2);(Yr);(G);(ergs/s);(ergs/kpc^2/s);
618;J1125+7819;J1125+7819;11:25:59.8;+78:19:48.7;0.004202;6.94e-21;12.03;*;-28.40;*;0.903;0.903;1.39e+01;8.97e-01;9.59e+09;1.73e+08;3.70e+33;4.53e+33;
619;J1126-2737;J1126-2737;11:26:02;-27:37:11;0.358161;*;26.86;*;*;*;0.436;0.436;*;*;*;*;*;*;
620;J1126-38;J1126-38;11:26:18;-38:38;0.887550;*;46.00;*;*;*;1.013;1.013;*;*;*;*;*;*;
621;B1124-60;J1126-6054;11:26:52.6;-60:54:39.9;0.202737;2.81e-16;280.27;*;-41.00;*;2.426;2.426;*;8.24e+00;1.14e+07;2.42e+11;1.33e+33;2.26e+32;
622;J1126-6942;J1126-6942;11:26:21.6;-69:42:15.8;0.579419;3.29e-15;55.33;*;-31.00;*;1.185;1.185;1.26e+01;4.21e-01;2.79e+06;1.40e+12;6.68e+32;4.76e+32;
623;J1128-6219;J1128-6219;11:28:46.7;-62:19:09;0.515984;1.10e-17;675.00;*;*;*;7.401;7.401;*;1.48e+01;7.43e+08;7.62e+10;3.16e+30;5.77e+28;
624;J1129-53;J1129-53;11:29:21;-53:31;1.062880;*;77.00;*;*;*;1.457;1.457;*;*;*;*;*;*;
625;J1130+09;J1130+09;11:30:55.0;+09:20:48.5;4.796637;-2.76e-15;21.00;*;*;*;3.386;3.386;*;*;*;*;*;*;
626;J1130-5826;J1130-5826;11:30:16.3;-58:26:02.3;0.162323;1.59e-17;261.10;*;*;*;2.408;2.408;*;1.04e+00;1.62e+08;5.14e+10;1.47e+32;2.53e+31;
627;J1130-5925;J1130-5925;11:30:10.4;-59:25:34.1;0.680984;9.52e-16;264.40;*;*;*;2.387;2.387;*;6.84e-01;1.13e+07;8.15e+11;1.19e+32;2.09e+31;
628;J1130-6807;J1130-6807;11:30:31.9;-68:07:28.5;0.256353;4.60e-16;148.73;*;-150.00;*;1.972;1.972;3.11e+01;2.14e+00;8.84e+06;3.47e+11;1.08e+33;2.77e+32;
629;J1132+25;J1132+25;11:32:50;+25:15;1.002000;*;24.19;*;*;*;25.000;25.000;*;*;*;*;*;*;
630;J1132-4700;J1132-4700;11:32:14.5;-47:00:36.5;0.325633;7.77e-16;123.00;*;*;*;2.688;2.688;*;3.54e+00;6.64e+06;5.09e+11;8.88e+32;1.23e+32;
631;J1132-5627;J1132-5627;11:32:15.7;-56:27:28.9;0.175166;6.80e-17;305.70;*;*;*;2.911;2.911;*;7.63e-01;4.08e+07;1.10e+11;4.99e+32;5.89e+31;
632;B1131-62;J1133-6250;11:33:51.4;-62:50:50.6;1.022875;4.52e-16;567.80;*;848.00;*;7.448;7.448;*;3.88e+02;3.59e+07;6.88e+11;1.67e+31;3.01e+29;
633;J1135-49;J1135-49;11:35:56;-49:25:31;*;*;114.00;*;*;*;2.129;2.129;*;*;*;*;*;*;
634;J1135-6055;J1135-6055;11:35:08.3;-60:55:36.4;0.114943;7.93e-14;*;*;*;*;*;*;*;*;2.30e+04;3.05e+12;2.06e+36;*;
635;B1133+16;J1136+1551;11:36:03.1;+15:51:14.1;1.187913;3.73e-15;4.84;*;3.97;*;0.372;0.414;3.55e+01;2.76e+00;5.04e+06;2.13e+12;8.79e+31;6.36e+32;
636;B1133-55;J1136-5525;11:36:02.1;-55:25:06.9;0.364713;8.23e-15;85.11;*;31.80;*;1.518;1.518;5.30e+01;1.38e+01;7.02e+05;1.75e+12;6.69e+33;2.91e+33;
637;J1136-6527;J1136-6527;11:36:25.2;-65:27:19.5;1.189309;1.75e-15;164.10;*;*;*;1.955;1.955;*;5.35e-01;1.08e+07;1.46e+12;4.11e+31;1.07e+31;
638;J1137-6700;J1137-6700;11:37:32.0;-67:00:33.0;0.556216;7.17e-17;228.04;*;-1.00;*;2.603;2.603;9.49e+01;1.02e+01;1.23e+08;2.02e+11;1.64e+31;2.43e+30;
639;J1137+7528;J1137+7528;11:37:02.0;+75:28:02.3;0.002513;3.24e-21;29.17;*;*;*;3.833;3.833;*;*;1.23e+10;9.13e+07;8.06e+33;5.49e+32;
640;J1138-6207;J1138-6207;11:38:21.6;-62:07:59.3;0.117564;1.25e-14;518.86;*;594.00;*;7.183;7.183;*;2.94e+01;1.49e+05;1.23e+12;3.03e+35;5.88e+33;
641;J1139-6247;J1139-6247;11:39;-62:47;0.120482;4.05e-15;*;*;*;*;*;*;*;*;4.71e+05;7.07e+11;9.14e+34;*;
642;J1141-3107;J1141-3107;11:41:25.6;-31:07:52.6;0.538432;1.96e-15;30.77;*;-26.00;*;0.783;0.783;6.13e+00;4.90e-01;4.35e+06;1.04e+12;4.96e+32;8.09e+32;
643;J1141-3322;J1141-3322;11:41:42.7;-33:22:37.3;0.291468;4.65e-16;46.45;*;-36.00;*;1.853;1.853;2.75e+01;5.49e+00;9.92e+06;3.73e+11;7.42e+32;2.16e+32;
644;J1141-6545;J1141-6545;11:41:07.0;-65:45:19.1;0.393899;4.31e-15;116.08;*;-93.40;51369.8546;10.000;1.676;*;2.40e+02;1.45e+06;1.32e+12;2.78e+33;2.78e+31;
645;J1142+0119;J1142+0119;11:42:50.1;+01:19:35.6;0.005075;1.50e-20;19.20;*;0.31;*;2.169;2.169;*;2.12e-01;5.36e+09;2.79e+08;4.53e+33;9.62e+32;
646;J1142-6230;J1142-6230;11:42:52.5;-62:30:03.9;0.558383;7.79e-17;343.80;*;*;*;3.483;3.483;*;3.15e+00;1.13e+08;2.11e+11;1.77e+31;1.46e+30;
647;J1143-5158;J1143-5158;11:43:15.0;-51:58:39.8;0.675646;6.95e-16;159.03;*;*;*;2.397;2.397;4.02e+01;1.72e+00;1.54e+07;6.94e+11;8.90e+31;1.55e+31;
648;J1143-5536;J1143-5536;11:43:09.7;-55:36:04.5;0.685358;4.85e-16;185.00;*;*;*;2.220;2.220;*;9.86e-01;2.24e+07;5.83e+11;5.95e+31;1.21e+31;
649;J1144-6146;J1144-6146;11:44:34.8;-61:46:49;0.987783;-3.81e-17;78.70;*;*;*;1.395;1.395;*;8.76e-01;*;*;*;*;
650;J1144-6217;J1144-6217;11:44:02.1;-62:17:30.3;0.850665;3.08e-14;284.70;*;*;*;2.645;2.645;*;1.40e+00;4.37e+05;5.18e+12;1.98e+33;2.83e+32;
651;B1143-60;J1146-6030;11:46:07.7;-60:30:59.6;0.273375;1.79e-15;111.68;*;7.00;*;1.634;1.634;4.54e+01;8.54e+00;2.42e+06;7.08e+11;3.46e+33;1.29e+33;
652;J1146-6610;J1146-6610;11:46:58.3;-66:10:51.3;0.003722;7.93e-21;133.82;*;*;*;1.793;1.793;*;1.77e+00;7.44e+09;1.74e+08;6.07e+33;1.89e+33;
653;J1148-5725;J1148-5725;11:48:28.5;-57:25:12.6;3.559937;1.11e-14;174.00;*;*;*;2.063;2.063;*;5.11e-01;5.08e+06;6.36e+12;9.71e+30;2.28e+30;
654;J1148-6415;J1148-6415;11:48:37.8;-64:15:33;3.241029;2.70e-15;241.00;*;*;*;2.454;2.454;*;3.61e-01;1.90e+07;2.99e+12;3.13e+30;5.20e+29;
655;J1151-6108;J1151-6108;11:51:56.8;-61:08:17.6;0.101633;1.03e-14;217.80;*;183.10;*;2.227;2.227;*;2.98e-01;1.57e+05;1.03e+12;3.87e+35;7.79e+34;
656;J1152-5800;J1152-5800;11:52:10.0;-58:00:34;1.789829;1.28e-15;191.00;*;*;*;2.156;2.156;*;5.58e-01;2.21e+07;1.53e+12;8.82e+30;1.90e+30;
657;J1152-6012;J1152-6012;11:52:53.8;-60:12:21;0.376570;6.69e-15;74.00;*;*;*;1.367;1.367;*;3.18e-01;8.93e+05;1.61e+12;4.94e+33;2.64e+33;
658;J1153-2117;J1153-2117;11:52:58;-21:17:53;2.343480;*;34.80;*;*;*;2.331;2.331;*;*;*;*;*;*;
659;J1154-19;J1154-19;11:54;-19;0.011100;*;10.69;*;*;*;0.121;0.121;*;*;*;*;*;*;
660;J1154-6250;J1154-6250;11:54:20.1;-62:50:02.7;0.282012;5.59e-16;74.00;*;*;*;1.358;1.358;*;1.29e-01;7.99e+06;4.02e+11;9.84e+32;5.34e+32;
661;J1156-1318;J1156-1318;11:56:42;-13:18:22;*;*;28.00;*;*;*;2.228;2.228;*;*;*;*;*;*;
662;J1156-5707;J1156-5707;11:56:07.4;-57:07:02.1;0.288417;2.65e-14;243.20;*;228.00;*;2.848;2.848;*;2.19e+00;1.72e+05;2.80e+12;4.37e+34;5.39e+33;
663;J1156-5909;J1156-5909;11:56:21.5;-59:09:12.3;1.037931;1.02e-15;219.20;*;*;*;2.331;2.331;3.80e+01;*;1.61e+07;1.04e+12;3.60e+31;6.63e+30;
664;J1157-5112;J1157-5112;11:57:08.1;-51:12:56.1;0.043589;1.43e-19;39.72;*;-4.46;*;0.961;0.961;*;2.55e-01;4.83e+09;2.53e+09;6.82e+31;7.38e+31;
665;B1154-62;J1157-6224;11:57:15.2;-62:24:50.9;0.400526;3.93e-15;325.20;*;508.20;*;4.000;4.758;2.32e+03;2.24e+02;1.61e+06;1.27e+12;2.42e+33;1.51e+32;
666;J1159-6409;J1159-6409;11:59:21.7;-64:09:57;0.667486;2.40e-17;178.00;*;259.00;*;2.035;2.035;*;1.95e+00;4.41e+08;1.28e+11;3.19e+30;7.69e+29;
667;J1159-7910;J1159-7910;11:59:35.7;-79:10:05.6;0.525074;2.82e-15;59.24;*;-11.00;*;1.607;1.607;1.55e+01;1.81e+00;2.95e+06;1.23e+12;7.68e+32;2.97e+32;
668;J1201-6306;J1201-6306;12:01:23.0;-63:06:59.5;0.592136;3.56e-15;683.00;*;*;*;9.538;9.538;*;1.18e+01;2.64e+06;1.47e+12;6.76e+32;7.43e+30;
669;B1159-58;J1202-5820;12:02:28.3;-58:20:33.6;0.452803;2.13e-15;145.41;*;139.00;*;1.887;1.887;8.19e+01;1.07e+01;3.37e+06;9.94e+11;9.06e+32;2.54e+32;
670;J1203-6242;J1203-6242;12:03;-62:42;0.100604;4.41e-14;*;*;*;*;*;*;*;*;3.61e+04;2.13e+12;1.71e+36;*;
671;J1204-6843;J1204-6843;12:04:36.7;-68:43:17.1;0.308861;2.17e-16;133.93;*;*;*;1.906;1.906;*;1.82e+00;2.25e+07;2.62e+11;2.91e+32;8.01e+31;
672;J1207-4508;J1207-4508;12:07:19.2;-45:08:09.1;1.769828;1.56e-15;84.50;*;-64.00;*;2.634;2.634;*;2.15e+00;1.80e+07;1.68e+12;1.11e+31;1.60e+30;
673;J1207-5050;J1207-5050;12:07:22.4;-50:50:38.6;0.004843;6.06e-21;50.64;*;-13.00;*;1.267;1.267;*;6.26e-01;1.27e+10;1.73e+08;2.11e+33;1.31e+33;
674;J1208-6238;J1208-6238;12:08:13.9;-62:38:03.3;0.440591;3.27e-12;*;*;*;*;*;*;*;*;2.14e+03;3.84e+13;1.51e+36;*;
675;J1210-5226;J1210-5226;12:10:00.9;-52:26:28.4;0.424131;2.22e-17;*;*;*;*;2.600;*;*;*;3.02e+08;9.83e+10;1.15e+31;1.70e+30;
676;J1210-5559;J1210-5559;12:10:05.9;-55:59:03.8;0.279768;7.25e-16;174.35;*;58.00;*;2.372;2.372;1.29e+02;7.15e+00;6.11e+06;4.56e+11;1.31e+33;2.32e+32;
677;J1210-6322;J1210-6322;12:10:46.7;-63:22:20.9;1.163186;9.25e-15;547.00;*;*;*;9.548;9.548;*;1.38e+01;1.99e+06;3.32e+12;2.32e+32;2.54e+30;
678;J1210-6550;J1210-6550;12:10:42.0;-65:50:04.6;4.237010;4.31e-16;37.00;*;*;*;0.923;0.923;*;1.45e-01;1.56e+08;1.37e+12;2.24e+29;2.62e+29;
679;J1211-6324;J1211-6324;12:11:24.1;-63:24:45.2;0.433084;2.57e-16;333.80;*;-120.00;*;8.049;8.049;*;2.92e+01;2.67e+07;3.38e+11;1.25e+32;1.93e+30;
680;J1214-5830;J1214-5830;12:14:08.4;-58:30:25.9;0.909823;5.34e-17;141.10;*;*;*;1.883;1.883;*;4.96e-01;2.70e+08;2.23e+11;2.80e+30;7.89e+29;
681;J1215-5328;J1215-5328;12:15:00.6;-53:28:31.6;0.636414;1.15e-16;163.00;*;*;*;3.275;3.275;*;5.36e+00;8.77e+07;2.74e+11;1.76e+31;1.64e+30;
682;J1216-50;J1216-50;12:16:20;-50:27:01;6.355000;*;110.00;*;*;*;2.302;2.302;*;*;*;*;*;*;
683;J1216-6223;J1216-6223;12:16:41.9;-62:23:57.0;0.374053;1.68e-14;790.00;*;*;*;18.316;18.316;*;7.72e+01;3.52e+05;2.54e+12;1.27e+34;3.78e+31;
684;J1216-6410;J1216-6410;12:16:07.3;-64:10:09.2;0.003539;1.62e-21;47.39;*;-21.99;*;1.098;1.098;*;1.39e+00;3.47e+10;7.65e+07;1.44e+33;1.19e+33;
685;J1220-6318;J1220-6318;12:20:17.8;-63:18:46.5;0.789212;8.03e-17;347.00;*;258.40;*;8.948;8.948;*;5.44e+01;1.56e+08;2.55e+11;6.45e+30;8.06e+28;
686;J1221-0633;J1221-0633;12:21:24.8;-06:33:51;0.001930;1.09e-20;16.43;*;*;*;1.251;1.251;*;*;2.82e+09;1.46e+08;5.96e+34;3.81e+34;
687;J1222-5738;J1222-5738;12:22:52.3;-57:38:20;1.081164;1.50e-16;74.00;*;*;*;1.408;1.408;*;2.18e-01;1.14e+08;4.08e+11;4.69e+30;2.36e+30;
688;J1223-5856;J1223-5856;12:23:40.1;-58:56:48.9;0.288541;5.70e-18;233.00;*;*;*;4.770;4.770;*;8.58e+00;8.02e+08;4.10e+10;9.37e+30;4.12e+29;
689;J1224-6208;J1224-6208;12:24:44.2;-62:08:41.1;0.585761;2.02e-14;454.20;*;80.00;*;9.876;9.876;*;2.24e+01;4.60e+05;3.48e+12;3.97e+33;4.07e+31;
690;B1221-63;J1224-6407;12:24:22.2;-64:07:53.8;0.216480;4.95e-15;97.69;*;-5.60;*;4.000;1.535;7.68e+02;1.42e+02;6.92e+05;1.05e+12;1.93e+34;1.20e+33;
691;J1225-5556;J1225-5556;12:25:43.8;-55:56:43.1;1.018453;2.06e-15;125.83;*;*;*;1.929;1.929;1.86e+01;1.12e+00;7.82e+06;1.47e+12;7.71e+31;2.07e+31;
692;J1225-6035;J1225-6035;12:25:28.6;-60:35:37.6;0.626324;2.88e-16;176.10;*;70.00;*;2.194;2.194;*;1.25e+00;3.45e+07;4.30e+11;4.63e+31;9.61e+30;
693;B1222-63;J1225-6408;12:25:42.8;-64:08:43;0.419618;9.46e-16;415.10;*;337.00;*;9.846;9.846;1.07e+03;1.22e+02;7.03e+06;6.38e+11;5.05e+32;5.21e+30;
694;J1226+0005;J1226+0005;12:26:14.4;+00:05:44;2.285076;2.47e-15;18.50;*;*;*;1.868;1.868;1.74e+00;*;1.46e+07;2.41e+12;8.19e+30;2.35e+30;
695;J1226-3223;J1226-3223;12:26:46.6;-32:23:01;6.193004;7.05e-15;36.70;*;*;*;2.175;2.175;*;*;1.39e+07;6.69e+12;1.17e+30;2.48e+29;
696;J1227-4853;J1227-4853;12:27:58.7;-48:53:42.7;0.001686;1.11e-20;43.42;*;*;*;1.613;1.244;*;*;2.41e+09;1.38e+08;9.13e+34;3.51e+34;
697;J1227-6208;J1227-6208;12:27:00.4;-62:08:43.7;0.034528;1.87e-19;362.91;*;47.32;*;9.469;9.469;*;2.44e+01;2.92e+09;2.57e+09;1.80e+32;2.00e+30;
698;J1227-63;J1227-63;12:27:12;-63:09;0.444578;*;359.00;*;*;*;9.406;9.406;*;*;*;*;*;*;
699;J1231-1411;J1231-1411;12:31:11.3;-14:11:43.6;0.003684;2.28e-20;8.09;*;11.58;55016.8000;0.420;0.420;*;5.12e-02;2.56e+09;2.93e+08;1.80e+34;1.02e+35;
700;J1231-4609;J1231-4609;12:31:45.7;-46:09:45.2;0.877239;3.80e-17;67.40;*;-20.00;*;1.965;1.965;*;6.56e+00;3.66e+08;1.85e+11;2.22e+30;5.76e+29;
701;J1231-5113;J1231-5113;12:31;-51:13;0.206612;1.17e-16;*;*;*;*;*;*;*;*;2.80e+07;1.57e+11;5.24e+32;*;
702;J1231-6303;J1231-6303;12:31:13.0;-63:03:18;1.351236;1.32e-16;301.00;*;390.00;*;8.279;8.279;*;1.03e+02;1.62e+08;4.27e+11;2.11e+30;3.08e+28;
703;J1231-6511;J1231-6511;12:31:43.9;-65:11:48;0.247525;2.84e-14;*;*;*;*;*;*;*;*;1.38e+05;2.68e+12;7.40e+34;*;
704;J1232-4742;J1232-4742;12:32:19.1;-47:42:50.9;1.872994;1.40e-17;26.00;*;*;*;0.871;0.871;*;1.81e+00;2.12e+09;1.64e+11;8.41e+28;1.11e+29;
705;J1232-6501;J1232-6501;12:32:17.8;-65:01:03.3;0.088282;8.11e-19;239.40;*;*;*;5.423;5.423;*;1.00e+01;1.73e+09;8.56e+09;4.65e+31;1.58e+30;
706;J1233-6312;J1233-6312;12:33:31.5;-63:12:29;0.564759;6.92e-15;414.00;*;*;*;10.020;10.020;*;2.51e+01;1.29e+06;2.00e+12;1.52e+33;1.51e+31;
707;J1233-6344;J1233-6344;12:33:39.9;-63:44:55;0.756892;3.88e-15;495.00;*;*;*;10.379;10.379;*;7.54e+00;3.09e+06;1.73e+12;3.53e+32;3.28e+30;
708;J1234-3630;J1234-3630;12:34:12.0;-36:30:41.1;0.569242;8.66e-16;59.29;*;*;*;5.990;5.990;*;*;1.04e+07;7.10e+11;1.85e+32;5.17e+30;
709;B1232-55;J1235-54;12:35:19;-54:57;0.638234;*;100.00;*;*;*;1.741;1.741;1.36e+01;3.03e+00;*;*;*;*;
710;J1235-6354;J1235-6354;12:35:57.7;-63:54:30.4;0.256778;1.97e-16;439.90;*;*;*;10.296;10.296;*;1.70e+01;2.07e+07;2.28e+11;4.59e+32;4.33e+30;
711;J1236-0159;J1236-0159;12:36:02.5;-01:59:10;3.597574;5.10e-15;19.08;*;*;*;2.039;2.039;*;*;1.12e+07;4.34e+12;4.33e+30;1.04e+30;
712;J1236-5033;J1236-5033;12:36:59.1;-50:33:36.3;0.294760;1.56e-16;105.02;*;49.00;*;2.755;2.755;*;4.55e+00;3.00e+07;2.17e+11;2.40e+32;3.16e+31;
713;J1237-6725;J1237-6725;12:37:25.9;-67:25:33.9;2.110974;2.19e-15;176.50;*;24.00;*;3.036;3.036;*;3.69e+00;1.53e+07;2.18e+12;9.19e+30;9.97e+29;
714;J1238+2152;J1238+2152;12:38:23.1;+21:52:11.1;1.118591;1.45e-15;17.97;*;4.41;*;2.555;2.555;1.31e+01;*;1.23e+07;1.29e+12;4.08e+31;6.25e+30;
715;B1237+25;J1239+2453;12:39:40.4;+24:53:49.2;1.382449;9.60e-16;9.25;*;-0.12;*;0.840;0.827;7.76e+01;1.64e+01;2.28e+07;1.17e+12;1.43e+31;2.03e+31;
716;J1239+32;J1239+32;12:39;+32;0.004700;*;16.85;*;-9.08;*;2.224;2.224;*;*;*;*;*;*;
717;J1239-48;J1239-48;12:39;-48:00;0.653900;*;107.60;*;*;*;5.355;5.355;*;*;*;*;*;*;
718;B1236-68;J1239-6832;12:39:58.9;-68:32:28.9;1.301923;1.19e-14;94.30;*;-49.00;*;1.575;1.575;1.61e+01;2.38e+00;1.74e+06;3.98e+12;2.13e+32;8.57e+31;
719;B1237-41;J1240-4124;12:40:17.6;-41:24:51.7;0.512242;1.74e-15;44.10;*;17.00;*;1.682;1.682;9.90e+00;1.70e+00;4.67e+06;9.55e+11;5.11e+32;1.81e+32;
720;J1242+39;J1242+39;12:42:34;+39:38;1.310000;*;26.00;*;*;*;25.000;25.000;*;*;*;*;*;*;
721;J1243+17;J1243+17;12:43:00;+17:52;1.216500;*;5.00;*;*;*;0.405;0.405;*;*;*;*;*;*;
722;J1243-5735;J1243-5735;12:43:35.3;-57:35:42.8;0.471225;8.00e-17;270.60;*;*;*;14.144;14.144;*;2.80e+01;9.33e+07;1.96e+11;3.02e+31;1.51e+29;
723;B1240-64;J1243-6423;12:43:17.1;-64:23:23.7;0.388485;4.49e-15;297.09;*;161.20;*;2.000;9.405;4.40e+02;1.37e+02;1.37e+06;1.34e+12;3.03e+33;7.57e+32;
724;J1244-1812;J1244-1812;12:44:25.7;-18:12:16.2;3.425324;1.48e-15;15.50;*;4.00;*;1.085;1.085;*;2.35e-01;3.66e+07;2.28e+12;1.46e+30;1.24e+30;
725;J1244-5053;J1244-5053;12:44:11.4;-50:53:20.6;0.275207;1.00e-15;109.95;*;*;*;3.422;3.422;*;2.34e+00;4.36e+06;5.31e+11;1.89e+33;1.62e+32;
726;J1244-6359;J1244-6359;12:44:47.6;-63:59:47.4;0.147274;4.40e-18;286.00;*;*;56513.0000;8.497;8.497;*;1.08e+01;5.30e+08;2.58e+10;5.44e+31;7.53e+29;
727;J1244-6531;J1244-6531;12:44:38.3;-65:31:12;1.546819;7.18e-15;388.00;*;*;*;10.862;10.862;*;2.01e+01;3.41e+06;3.37e+12;7.66e+31;6.49e+29;
728;J1245-6238;J1245-6238;12:45:21.1;-62:38:55.9;2.283093;1.09e-14;336.20;*;*;*;9.956;9.956;*;1.39e+01;3.31e+06;5.05e+12;3.62e+31;3.65e+29;
729;J1246+2253;J1246+2253;12:46:49.3;+22:53:43.2;0.473871;8.89e-17;17.79;*;3.59;*;2.465;2.465;1.76e+02;2.37e+00;8.45e+07;2.08e+11;3.30e+31;5.43e+30;
730;J1248-6344;J1248-6344;12:48:46.3;-63:44:09.6;0.198335;1.69e-14;433.00;*;*;*;10.699;10.699;*;2.29e+01;1.86e+05;1.85e+12;8.56e+34;7.48e+32;
731;J1248-6444;J1248-6444;12:48:32.8;-64:44:00.0;1.234893;1.93e-15;236.40;*;*;*;5.969;5.969;*;5.34e+00;1.01e+07;1.56e+12;4.05e+31;1.14e+30;
732;J1249-6507;J1249-6507;12:49:54.3;-65:07:19.8;0.434445;1.21e-17;215.00;*;*;*;5.123;5.123;*;2.62e+00;5.69e+08;7.34e+10;5.83e+30;2.22e+29;
733;J1251-7407;J1251-7407;12:51:52.9;-74:07:15.0;0.327058;3.65e-16;89.81;*;-121.00;*;1.860;1.860;*;6.92e-01;1.42e+07;3.50e+11;4.12e+32;1.19e+32;
734;J1252+53;J1252+53;12:52;+53:42;0.220104;*;20.70;*;*;*;3.191;3.191;*;*;*;*;*;*;
735;J1252-6314;J1252-6314;12:52:42.6;-63:14:32.7;0.823339;1.08e-16;278.40;*;330.00;*;7.317;7.317;*;3.53e+01;1.20e+08;3.02e+11;7.67e+30;1.43e+29;
736;J1253-5820;J1253-5820;12:53:28.3;-58:20:40.8;0.255496;2.10e-15;100.58;*;17.70;*;1.641;1.641;5.39e+01;1.10e+01;1.93e+06;7.41e+11;4.97e+33;1.85e+33;
737;J1254-6150;J1254-6150;12:54:32.4;-61:50:50.8;0.184502;6.24e-16;95.00;*;*;*;1.531;1.531;*;3.52e-01;4.68e+06;3.43e+11;3.92e+33;1.67e+33;
738;J1255-46;J1255-46;12:55;-46:00;0.052000;*;42.90;*;*;*;1.359;1.359;*;*;*;*;*;*;
739;J1255-6131;J1255-6131;12:55:54.8;-61:31:10.1;0.657974;4.00e-15;206.50;*;*;*;4.824;4.824;*;3.03e+00;2.61e+06;1.64e+12;5.54e+32;2.38e+31;
740;J1255-62;J1255-62;12:55:18;-62:48;0.182912;*;713.00;*;*;*;19.757;19.757;*;5.07e+01;*;*;*;*;
741;B1254-10;J1257-1027;12:57:04.7;-10:27:05.5;0.617308;3.63e-16;29.63;*;8.00;*;25.000;25.000;7.50e+03;7.50e+02;2.70e+07;4.79e+11;6.09e+31;9.74e+28;
742;B1256-67;J1259-6741;12:59:22.6;-67:41:40.2;0.663330;8.55e-16;94.70;*;-55.70;*;1.574;1.574;1.11e+01;3.22e+00;1.23e+07;7.62e+11;1.16e+32;4.67e+31;
743;B1257+12;J1300+1240;13:00:03.5;+12:40:56.4;0.006219;1.14e-19;10.17;-0.001;7.78;49765.1000;0.709;0.877;1.01e+01;1.96e-01;8.62e+08;8.53e+08;1.88e+34;3.73e+34;
744;J1300-6602;J1300-6602;13:00:26.9;-66:02:16.8;1.143316;3.35e-16;460.00;*;*;*;15.566;15.566;*;2.88e+01;5.41e+07;6.26e+11;8.85e+30;3.65e+28;
745;J1301+0833;J1301+0833;13:01:38.2;+08:33:57.5;0.001840;*;13.20;*;*;*;1.233;1.233;*;*;*;*;*;*;
746;J1301-6305;J1301-6305;13:01:45.7;-63:05:33.9;0.184528;2.67e-13;374.00;*;-631.00;*;10.717;10.717;*;5.63e+01;1.10e+04;7.10e+12;1.68e+36;1.46e+34;
747;J1301-6310;J1301-6310;13:01:28.3;-63:10:40.5;0.663830;5.64e-14;86.10;*;*;*;1.458;1.458;*;2.34e-01;1.86e+05;6.19e+12;7.62e+33;3.58e+33;
748;J1302-3258;J1302-3258;13:02:26;-32:58:48;0.003770;6.55e-21;26.19;*;-30.00;*;1.431;1.431;1.02e+00;3.48e-01;9.11e+09;1.59e+08;4.83e+33;2.36e+33;
749;J1302-63;J1302-63;13:02:04;-63:44:53;0.325724;*;875.00;*;*;*;25.000;25.000;*;6.25e+01;*;*;*;*;
750;J1302-6313;J1302-6313;13:02:19.2;-63:13:29;0.967846;6.33e-15;500.00;*;*;*;11.331;11.331;*;2.31e+01;2.42e+06;2.50e+12;2.76e+32;2.15e+30;
751;B1259-63;J1302-6350;13:02:47.6;-63:50:08.6;0.047763;2.28e-15;146.73;*;21.10;53071.2447;2.632;2.214;*;3.12e+01;3.32e+05;3.34e+11;8.26e+35;1.19e+35;
752;J1303+38;J1303+38;13:03:18;+38:13;0.396300;*;19.00;*;*;*;3.190;3.190;*;*;*;*;*;*;
753;J1303-6305;J1303-6305;13:03:00.0;-63:05:00.8;2.306642;2.18e-15;343.00;*;*;*;10.248;10.248;*;3.78e+01;1.68e+07;2.27e+12;7.02e+30;6.68e+28;
754;J1304+12;J1304+12;13:04:27;+12:02:28;0.004180;*;*;*;*;*;*;*;*;*;*;*;*;*;
755;J1305-6203;J1305-6203;13:05:21.1;-62:03:21.0;0.427774;3.22e-14;468.78;*;-478.00;*;11.586;11.586;*;8.99e+01;2.11e+05;3.75e+12;1.62e+34;1.21e+32;
756;J1305-6256;J1305-6256;13:05:28.0;-62:56:39;0.478231;2.11e-15;967.00;*;*;*;25.000;25.000;*;2.00e+02;3.59e+06;1.02e+12;7.63e+32;1.22e+30;
757;B1302-64;J1305-6455;13:05:23.4;-64:55:28.5;0.571652;4.03e-15;505.00;*;-420.00;*;11.900;11.900;4.11e+03;2.97e+02;2.25e+06;1.54e+12;8.52e+32;6.02e+30;
758;J1305-66;J1305-66;13:05:36;-66:39;0.197276;*;316.10;*;*;*;11.627;11.627;*;2.70e+01;*;*;*;*;
759;J1306-4035;J1306-4035;13:06:56.3;-40:35:23.3;0.002205;*;35.00;*;*;57780.3373;4.700;11.900;*;4.64e+01;*;*;*;*;
760;J1306-6242;J1306-6242;13:06:44.6;-62:42:03;0.981902;5.86e-15;480.00;*;*;*;11.430;11.430;*;1.83e+01;2.65e+06;2.43e+12;2.44e+32;1.87e+30;
761;B1303-66;J1306-6617;13:06:38.1;-66:17:21.2;0.473028;5.98e-15;436.90;*;396.00;*;15.872;15.872;*;1.24e+03;1.25e+06;1.70e+12;2.23e+33;8.85e+30;
