#;NAME;PSRJ;RAJ;DECJ;P0;P1;DM;DM1;RM;T0;DIST;DIST_DM;R_LUM;R_LUM14;AGE;BSURF;EDOT;EDOTD2;
;;;(hms);(dms);(s);;(cm^-3pc);(cm^-3pc/yr);(radm^-2);(MJD);(kpc);(kpc);(mJykpc^2);(mJykpc^2);(Yr);(G);(ergs/s);(ergs/kpc^2/s);
34;J0024-7204Y;J0024-7204Y;00:24:01.4;-72:04:41.8;0.002197;-3.52e-20;24.47;*;*;*;4.521;2.563;*;*;*;*;*;*;
35;J0024-7204Z;J0024-7204Z;00:24:06.0;-72:05:01.4;0.004554;-4.54e-21;24.45;*;*;*;4.521;2.559;*;*;*;*;*;*;
36;J0026-1955;J0026-1955;00:26:36;-19:55:59;1.306150;*;20.87;*;*;*;25.000;25.000;*;*;*;*;*;*;
37;J0026+6320;J0026+6320;00:26:50.5;+63:20:00.8;0.318358;1.51e-16;245.06;*;-294.00;*;6.619;6.619;*;4.38e+01;3.35e+07;2.22e+11;1.84e+32;4.21e+30;
38;J0030+0451;J0030+0451;00:30:27.4;+04:51:39.7;0.004865;1.02e-20;4.33;*;1.17;*;0.324;0.345;8.27e-01;1.14e-01;7.58e+09;2.25e+08;3.49e+33;3.33e+34;
39;J0033+57;J0033+57;00:33;+57;0.315000;*;75.65;*;*;*;2.251;2.251;*;*;*;*;*;*;
40;J0033+61;J0033+61;00:33;+61;0.912000;*;37.70;*;*;*;1.654;1.654;*;*;*;*;*;*;
41;J0034-0534;J0034-0534;00:34:21.8;-05:34:36.7;0.001877;4.97e-21;13.77;*;-38.00;*;1.348;1.348;4.36e+01;3.82e-01;5.99e+09;9.77e+07;2.96e+34;1.63e+34;
42;B0031-07;J0034-0721;00:34:08.8;-07:21:53.4;0.942951;4.08e-16;10.92;*;9.89;*;1.030;0.996;5.52e+01;1.18e+01;3.66e+07;6.28e+11;1.92e+31;1.81e+31;
43;J0034+69;J0034+69;00:34;+69:43;0.036804;*;80.01;*;*;*;2.283;2.283;2.35e+01;*;*;*;*;*;
44;J0036-1033;J0036-1033;00:36:15.0;-10:33:14.2;0.900009;2.13e-16;23.10;*;-8.10;*;25.000;25.000;6.25e+02;*;6.69e+07;4.43e+11;1.15e+31;1.85e+28;
45;J0038-2501;J0038-2501;00:38:10.2;-25:01:30.7;0.256926;7.60e-19;5.71;*;*;*;0.604;0.604;*;*;5.36e+09;1.41e+10;1.77e+30;4.85e+30;
46;J0039+35;J0039+35;00:39:06;+35:45;0.536700;*;53.04;*;*;*;25.000;25.000;*;*;*;*;*;*;
47;B0037+56;J0040+5716;00:40:32.3;+57:16:24.8;1.118225;2.88e-15;92.51;*;15.30;*;2.420;2.420;4.39e+01;3.51e+00;6.15e+06;1.82e+12;8.13e+31;1.39e+31;
48;J0043-73;J0043-73;00:43:25;-73:11;0.937429;*;115.10;*;*;*;58.938;58.938;*;1.63e+02;*;*;*;*;
49;J0045-7042;J0045-7042;00:45:25.6;-70:42:07.1;0.632336;2.49e-15;71.30;*;31.00;*;59.700;58.577;*;2.28e+02;4.02e+06;1.27e+12;3.89e+32;1.09e+29;
50;J0045-7319;J0045-7319;00:45:35.1;-73:19:03.0;0.926276;4.46e-15;104.60;*;-25.00;49169.2136;59.700;58.705;3.56e+03;8.91e+02;3.29e+06;2.06e+12;2.22e+32;6.22e+28;
51;B0045+33;J0048+3412;00:48:33.9;+34:12:08.0;1.217094;2.35e-15;39.92;*;-83.30;*;4.500;4.500;4.66e+01;*;8.19e+06;1.71e+12;5.16e+31;2.55e+30;
52;J0050+03;J0050+03;00:50:31;+03:48;1.366560;*;26.50;*;*;*;25.000;25.000;*;*;*;*;*;*;
53;J0051+0423;J0051+0423;00:51:30.1;+04:22:49;0.354732;7.00e-18;13.93;*;*;*;1.250;1.250;4.69e+00;7.81e-01;8.03e+08;5.04e+10;6.19e+30;3.96e+30;
54;J0052-72;J0052-72;00:52:28;-72:05;0.191444;*;158.60;*;*;*;60.261;60.261;*;1.42e+02;*;*;*;*;
